model,condition,reaction,fva_minimum,fva_maximum
Recon3D,StachysDose_High,ATPM,132.5726,133.9117
Recon3D,StachysDose_High,EX_ac_e,-8.0,-7.8326
Recon3D,StachysDose_High,EX_ppa_e,-0.0,0.0
Recon3D,StachysDose_High,EX_but_e,-1.6,-1.5391
Recon3D,StachysDose_High,EX_lac__D_e,0.0,0.0
Recon3D,StachysDose_High,EX_co2_e,28.6265,28.98
Recon3D,StachysDose_High,EX_o2_e,-100.0,-29.8175
Recon3D,StachysDose_Mid,ATPM,83.4685,84.3117
Recon3D,StachysDose_Mid,EX_ac_e,-4.0,-3.8946
Recon3D,StachysDose_Mid,EX_ppa_e,-0.0,0.0
Recon3D,StachysDose_Mid,EX_but_e,-0.8,-0.7617
Recon3D,StachysDose_Mid,EX_lac__D_e,0.0,0.0
Recon3D,StachysDose_Mid,EX_co2_e,17.5505,17.78
Recon3D,StachysDose_Mid,EX_o2_e,-100.0,-18.1197
Recon3D,StachysDose_Low,ATPM,58.9166,59.5117
Recon3D,StachysDose_Low,EX_ac_e,-2.0,-1.9256
Recon3D,StachysDose_Low,EX_ppa_e,-0.0,0.0
Recon3D,StachysDose_Low,EX_but_e,-0.4,-0.3729
Recon3D,StachysDose_Low,EX_lac__D_e,0.0,0.0
Recon3D,StachysDose_Low,EX_co2_e,12.0154,12.18
Recon3D,StachysDose_Low,EX_o2_e,-100.0,-12.2762
Recon3D,StachysDose_High_Lactate,ATPM,150.9865,152.5117
Recon3D,StachysDose_High_Lactate,EX_ac_e,-8.0,-7.8094
Recon3D,StachysDose_High_Lactate,EX_ppa_e,0.0,0.0
Recon3D,StachysDose_High_Lactate,EX_but_e,-1.6,-1.5307
Recon3D,StachysDose_High_Lactate,EX_lac__D_e,-1.24,-1.1383
Recon3D,StachysDose_High_Lactate,EX_co2_e,32.3,32.7
Recon3D,StachysDose_High_Lactate,EX_o2_e,-100.0,-33.4359
Recon3D,StachysDose_Mid_Lactate,ATPM,92.6756,93.6117
Recon3D,StachysDose_Mid_Lactate,EX_ac_e,-4.0,-3.883
Recon3D,StachysDose_Mid_Lactate,EX_ppa_e,0.0,0.0
Recon3D,StachysDose_Mid_Lactate,EX_but_e,-0.8,-0.7574
Recon3D,StachysDose_Mid_Lactate,EX_lac__D_e,-0.62,-0.5576
Recon3D,StachysDose_Mid_Lactate,EX_co2_e,19.3872,19.64
Recon3D,StachysDose_Mid_Lactate,EX_o2_e,-100.0,-19.9289
Recon3D,StachysDose_Low_Lactate,ATPM,63.52,64.1617
Recon3D,StachysDose_Low_Lactate,EX_ac_e,-2.0,-1.9198
Recon3D,StachysDose_Low_Lactate,EX_ppa_e,-0.0,0.0
Recon3D,StachysDose_Low_Lactate,EX_but_e,-0.4,-0.3708
Recon3D,StachysDose_Low_Lactate,EX_lac__D_e,-0.31,-0.2672
Recon3D,StachysDose_Low_Lactate,EX_co2_e,12.9327,13.11
Recon3D,StachysDose_Low_Lactate,EX_o2_e,-100.0,-13.1788
