Reaction,Name,Subsystem,Unconstrained_Flux,Constrained_Flux,Difference,Formula
ATPM,ATP maintenance requirement,,10000.0,256.9602632841548,9743.039736715846,atp_c + h2o_c --> adp_c + h_c + pi_c
H2Ot,H2O transport via diffusion,,1000.0,-379.1549999999999,1379.155,h2o_e <=> h2o_c
GDHm,"Glutamate dehydrogenase, mitochondria",,-1000.0,0.11500000000000002,1000.115,glu__L_m + h2o_m + nad_m <=> akg_m + h_m + nadh_m + nh4_m
ADK1,Adenylate kinase,,-1000.0,0.05000000000000004,1000.05,amp_c + atp_c <=> 2.0 adp_c
r0642,"(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase Valine, leucine and isoleucine degradation EC:1.2.1.3",,-1000.0000000000002,0.0,1000.0000000000002,2mop_c + h2o_c + nad_c <=> HC00900_c + 2.0 h_c + nadh_c
DEOXFVShc,Formation of deoxy-fluvastatin-dinor,,1000.0000000000002,0.0,1000.0000000000002,coa_x + fvs_x + h2o_x + nad_x --> accoa_x + deoxfvs_x + h2o2_x + h_x + nadh_x
2MOPtm,"Transport of 2-Methyl-3-Oxopropanoate, Mitochondrial",,1000.0000000000002,0.0,1000.0000000000002,2mop_c --> 2mop_m
PIt2r,Phosphate reversible transport via symport,,-1000.0,1.38809476372765e-13,1000.0000000000001,h_e + pi_e <=> h_c + pi_c
3AIB_Dtm,Transport of 3aib D into mitochondria,,-1000.0000000000001,0.0,1000.0000000000001,3aib__D_c <=> 3aib__D_m
DEOXFVSitx,DEOXFVSitx,,-1000.0000000000001,0.0,1000.0000000000001,deoxfvs_c <=> deoxfvs_x
FVSitx,FVSitx,,1000.0000000000001,0.0,1000.0000000000001,fvs_c <=> fvs_x
r0196,Succinyl Coenzyme A:Glycine C-Succinyl-Transferase (Decarboxylating),,-1000.0000000000001,0.0,1000.0000000000001,gly_m + succoa_m <=> HC01496_m + coa_m
r1116,ATP Exporter (ATP-E) TCDB:9.A.6.1.1,,-1000.0000000000001,0.0,1000.0000000000001,atp_c <=> atp_e
r0517,Succinyl Coenzyme A:Glycine C-Succinyl-Transferase (Decarboxylating),,-1000.0000000000001,0.0,1000.0000000000001,HC01496_m + h_m <=> 5aop_m + co2_m
Htmi,Htmi,,1000.0,0.0,1000.0,h_i --> h_m
IMPtr,Transport of IMP,,-1000.0,0.0,1000.0,imp_e <=> imp_c
DRPA,Deoxyribose-phosphate aldolase,,1000.0,0.0,1000.0,2dr5p_c --> acald_c + g3p_c
5AOPtm,5 Aminolevulinate mitochondrial transport,,1000.0,0.0,1000.0,5aop_c <=> 5aop_m
PIt,"Inorganic phosphate exchange, diffusion",,1000.0,0.0,1000.0,pi_c --> pi_e
5AOPt2,5 Aminolevulinate transport in via proton symport,,1000.0,0.0,1000.0,5aop_e + h_e --> 5aop_c + h_c
DEOXFVStev,Exit of deoxy-fluvastatin-dinor into hepatic vein for excretion in urine,,1000.0,0.0,1000.0,deoxfvs_c <=> deoxfvs_e
r0892,Facilitated diffusion,,-1000.0,0.0,1000.0,utp_c <=> utp_e
MALt,"Malate exchange, diffusion",,-1000.0,0.0,1000.0,mal__L_e <=> mal__L_c
PIt8,Phosphate transport in/out via Na+ symporter,,-1000.0,0.0,1000.0,1.5 na1_e + pi_e <=> 1.5 na1_c + pi_c
D_3AIBt,D-3-amino-isobutyrate transport,,1000.0,0.0,1000.0,3aib__D_c --> 3aib__D_e
